PredictionString,image_id
0 0.27863804 248.31581 672.6693 300.48132 748.95667 0 0.18198323 328.94583 565.4194 463.7092 735.9753 0 0.0843758 344.59537 640.09106 395.70975 731.1234 0 0.079436414 327.51736 641.9747 367.63742 688.2154 0 0.07456057 483.46698 572.2383 547.461 668.61206 0 0.070683405 635.84863 259.62894 724.7301 343.64847 1 0.9374927 563.229 119.23337 772.68054 373.54446 1 0.20001394 465.25433 554.3279 561.814 592.73987 1 0.16805393 545.4828 368.76736 711.29663 619.1962 1 0.13282353 635.8104 259.6493 724.66455 343.68384 1 0.12341475 403.6706 460.58264 577.086 679.7964 1 0.11228078 475.0347 98.045105 826.96423 458.37457 1 0.0803345 420.0451 492.91602 565.16376 592.4308 1 0.07100149 31.829918 326.68213 220.82285 441.5735 1 0.070585296 248.31946 672.6545 300.49982 748.9716 1 0.06522834 466.97552 564.71985 565.941 667.9884 1 0.05310007 572.61066 177.64154 742.48785 276.38837 1 0.052886788 454.98886 480.66074 539.38226 526.5663 1 0.052073188 604.777 173.45021 738.8224 345.59143 2 0.056782436 248.29874 672.71423 300.48575 748.95935 2 0.05007549 403.65433 460.56793 577.11414 679.75336 5 0.16581634 328.92792 565.4324 463.64954 736.08093 5 0.14077969 248.32921 672.6552 300.4826 748.9162 5 0.08248742 403.73117 460.4742 577.1212 679.6224 5 0.06424648 466.96127 564.7181 565.9696 667.99506 6 0.077101365 248.2873 672.6494 300.4555 748.8899 6 0.05503956 403.74176 460.56384 577.12506 679.6499 7 0.9976949 226.60971 68.66725 460.10934 464.85175 7 0.9943931 604.9945 506.0746 949.3667 1023.9054 7 0.9807602 129.57108 386.41876 325.27304 712.24286 7 0.88669515 460.63013 604.4256 651.96204 865.696 7 0.858442 672.4287 313.83423 883.79834 638.7568 7 0.8430573 387.98975 211.24927 619.31445 606.36237 7 0.791244 567.3921 337.2586 713.3273 589.8077 7 0.7601159 524.21936 301.30847 925.75574 610.0201 7 0.6963226 273.16934 455.40494 435.63254 569.06146 7 0.59954166 252.45233 404.65182 431.14655 610.1084 7 0.37017423 328.89172 565.4259 463.73773 735.98474 7 0.24544193 47.174866 436.87622 173.8119 615.52783 7 0.0935848 315.87805 555.1625 453.7386 638.82776 7 0.09071807 125.27653 424.9436 254.60764 508.10828 7 0.08356317 248.31775 672.6823 300.4851 748.97797 7 0.079405166 338.80322 50.586918 405.22382 117.029465 7 0.07545724 212.85062 323.1199 439.76242 582.19104 7 0.06336938 146.64917 86.33725 441.93146 635.61487 7 0.0523088 132.54611 440.6018 185.91113 506.95532 ,test/0000.jpg
0 0.23863074 194.32571 230.38252 738.8761 694.09686 0 0.2025151 751.833 653.1801 909.5453 991.1308 0 0.13568865 0.0 0.0 792.32056 701.6793 0 0.11375411 134.86505 0.0 505.10748 274.6031 0 0.056003675 389.84625 343.8333 727.6263 692.6833 2 0.18842722 346.56607 231.89912 744.46216 680.5952 3 0.21288943 346.48108 231.8296 744.63696 680.3858 3 0.05206896 134.57443 0.0 505.0134 274.69302 5 0.503035 134.88371 0.0 504.97314 274.59326 5 0.39919847 346.76138 231.93994 744.6194 680.50024 5 0.056285903 352.1701 246.16284 531.5132 684.4079 7 0.203103 134.7528 0.08854675 505.18652 274.6681 9 0.062440775 346.93655 231.9753 744.33936 680.559 9 0.053322986 134.79886 0.07563782 505.08383 274.95447 ,test/0001.jpg
0 0.22114542 974.4767 229.24329 1022.59595 252.11398 0 0.11438654 0.0 233.36171 162.16656 394.0713 0 0.08683773 84.1681 326.82513 253.85916 617.6229 0 0.058578163 644.9696 222.96481 892.28674 317.35654 0 0.054752417 889.65656 462.09012 1023.9511 635.9521 1 0.8841266 786.7841 411.30927 1020.9521 1024.0 1 0.7866035 94.47625 296.80914 349.5374 595.9713 1 0.7536604 336.54388 233.43219 1023.8597 744.95966 1 0.42544577 974.46893 229.23509 1022.61005 252.10207 1 0.371104 664.8146 229.561 1008.7805 354.84415 1 0.33447784 0.000579834 233.40363 162.22427 394.07874 1 0.31552926 870.29974 238.54791 1024.0 407.88843 1 0.20099127 366.08115 514.33124 826.17957 734.2011 1 0.18578738 997.3859 235.36528 1024.0 317.91006 1 0.17450608 966.239 231.94328 1023.22375 332.03757 1 0.13414477 644.9759 222.93045 892.1462 317.29935 1 0.097577944 964.8685 296.5825 1023.65955 398.94528 1 0.083651885 873.1374 236.52228 911.7205 326.69287 1 0.08360765 434.12888 270.9476 652.298 338.0834 1 0.081269845 909.85205 230.67188 963.2372 322.87836 1 0.07908318 901.3618 231.00775 988.9717 374.91162 1 0.0761711 991.98627 311.93427 1023.9925 386.4073 1 0.053335518 749.9207 232.57098 884.6031 337.79816 2 0.0619244 0.019500732 233.43542 162.2483 394.02454 5 0.0669587 644.9733 222.95065 892.24945 317.31894 5 0.05165729 873.1464 236.47731 911.72565 326.7426 ,test/0002.jpg
0 0.12640923 0.040008545 22.159271 1024.0 1023.93933 0 0.054818545 0.0 99.91298 288.63562 277.30426 0 0.0532368 0.016620636 429.737 115.43921 872.5346 1 0.16016507 0.0 21.942932 1023.8137 1023.60114 1 0.0626346 0.0 654.61163 1023.98865 1024.0 5 0.07591714 119.43738 172.72263 933.15344 859.2982 7 0.13861582 0.012573242 21.755249 1023.927 1023.6903 9 0.2068333 118.51248 172.43741 932.444 859.4308 ,test/0003.jpg
0 0.67293364 594.0701 571.7134 805.6849 659.2706 0 0.49067706 431.80386 507.9063 478.98508 574.248 0 0.3298224 232.33319 420.28418 926.76495 811.9352 0 0.2396168 206.4938 268.45312 747.3037 763.3065 0 0.1224587 475.77966 262.50208 870.95825 804.7632 0 0.090243705 466.21548 502.49097 788.4094 759.3423 0 0.06473242 475.10107 411.09 649.0287 523.1664 0 0.052491665 608.4828 542.2857 814.5011 625.7631 1 0.50112313 206.32205 268.3477 747.57007 763.14026 1 0.22568351 232.18607 420.1762 926.8552 812.03937 1 0.07779555 475.71185 262.58115 870.90436 804.85547 1 0.05137863 431.78732 507.91754 478.99533 574.2493 7 0.2219524 285.93555 269.7166 882.95605 760.85956 7 0.098326266 431.79388 507.92816 479.01447 574.27203 ,test/0004.jpg
0 0.41083902 359.46826 256.92914 795.5043 719.7428 0 0.06592788 569.70856 246.13492 772.804 707.3854 0 0.056790706 626.66473 674.1887 719.779 703.0106 1 0.43922338 368.307 219.19424 690.65283 725.6443 7 0.12993872 359.47406 256.8637 795.5159 719.82245 ,test/0005.jpg
0 0.47905064 893.4691 786.82495 1023.98413 915.7688 0 0.3505403 601.3354 0.0 704.3692 77.31488 0 0.17045769 3.5245628 812.284 96.324066 944.4847 0 0.06017981 288.311 13.406593 406.26126 167.17352 0 0.0522352 31.18404 471.0543 78.125946 517.90485 1 0.10039281 893.4924 786.8173 1023.99445 915.7347 2 0.18380648 893.5302 786.73474 1024.0 915.7897 2 0.08136997 3.544777 812.2174 96.31706 944.5591 3 0.09591895 355.50226 463.038 834.8383 715.1609 4 0.10611855 339.62067 456.93033 834.2835 722.4457 4 0.06169164 0.0 0.37661743 73.176315 234.96068 5 0.77411944 338.5732 457.15854 834.496 722.9137 5 0.12306671 3.5091972 812.23566 96.312195 944.49554 5 0.073041864 893.47046 786.83594 1023.9989 915.75854 6 0.20402654 3.5362663 812.2506 96.25537 944.5238 6 0.09961703 601.29956 0.02735138 704.3512 77.27794 6 0.07934991 893.3876 786.918 1023.989 915.61566 7 0.2555826 288.31635 13.348656 406.21008 167.14597 ,test/0006.jpg
0 0.17216721 138.80399 0.0 1023.8091 954.8785 0 0.16803169 331.7558 106.07068 941.1182 646.7492 0 0.09084956 0.0 859.09656 28.994278 1024.0 0 0.056829356 157.91336 474.0318 952.9276 921.52374 1 0.42266992 138.86551 0.09365845 1024.0 954.7257 1 0.36469316 340.2938 22.40915 875.17456 721.8087 1 0.22189617 158.0105 474.12268 952.67773 921.4818 1 0.19805096 113.6145 115.960144 461.7016 904.29065 1 0.08831088 203.7679 141.04694 714.2546 929.9598 1 0.050417695 0.0015001297 859.11584 28.993034 1024.0 5 0.21440783 0.007370949 859.06067 28.976978 1023.9734 6 0.25947925 332.20798 105.933624 941.1505 646.4728 7 0.34652403 0.0 859.13794 29.001873 1024.0 7 0.22949415 138.86331 0.0 1024.0 954.7843 ,test/0007.jpg
0 0.627488 110.405914 907.1895 175.07922 972.65826 0 0.16708785 363.32712 499.37262 467.473 610.6927 0 0.13181034 12.077667 0.9665375 303.4152 257.15735 0 0.060947064 679.0226 445.44647 820.94714 617.58905 1 0.5933641 598.7615 349.96188 739.1957 479.18704 1 0.5024247 12.054825 1.0171204 303.3609 257.0625 1 0.40457052 363.28314 499.40887 467.46527 610.66583 1 0.33267933 678.9515 445.4024 820.9119 617.5545 1 0.23831886 653.4801 638.7805 719.83484 761.2522 1 0.20484191 657.88556 445.80136 769.3768 481.4471 1 0.18978833 682.95807 441.6218 804.67303 518.2467 1 0.17826267 255.21034 417.32217 397.5998 547.23694 1 0.100749314 110.37654 907.1605 175.09209 972.66174 1 0.09915024 722.6422 519.9829 811.10034 573.34424 1 0.056300137 688.23944 381.0027 781.5159 522.8949 2 0.13027316 598.7699 349.89694 739.17163 479.14944 5 0.1775712 765.6937 284.05994 961.92993 477.94287 5 0.06951512 4.4894104 374.4429 256.54922 632.775 5 0.06673337 679.0122 445.45047 820.8845 617.5323 5 0.058740377 363.33133 499.32477 467.51553 610.6694 6 0.71826994 781.20044 269.72412 977.7081 608.82513 7 0.9941012 5.1034927 602.4081 184.27914 886.042 7 0.988296 394.79388 476.60617 690.36456 879.5598 7 0.98755884 179.60022 501.9451 443.7901 964.23096 7 0.87077063 4.4650574 374.43625 256.47183 632.7096 7 0.48146936 669.6894 531.0143 804.90765 705.9287 7 0.26817575 354.03925 492.63007 477.86902 648.3658 7 0.21036983 455.62073 457.63446 800.50977 681.5428 7 0.17499568 0.0 395.63635 173.94302 1024.0 7 0.12944299 0.60972595 340.1502 281.19708 823.3525 7 0.122897044 679.08 445.49188 820.93695 617.5982 7 0.09662632 0.0 516.99426 50.045837 678.5277 7 0.094538994 162.13196 491.32822 356.128 670.8194 7 0.07868602 11.952377 1.0838013 303.49347 257.15247 7 0.062798314 153.40752 542.8934 304.67316 644.1252 7 0.061197955 110.39807 907.1739 175.09622 972.70074 7 0.050400313 699.33264 514.0843 830.01636 603.1152 ,test/0008.jpg
0 0.39822727 243.50005 77.241486 635.1526 878.4728 0 0.060428184 203.0198 114.34137 375.81973 704.51624 1 0.11658503 243.36142 77.33362 635.22986 877.91327 2 0.25336912 329.18448 126.55536 667.58765 818.2032 5 0.08176393 329.19772 126.70285 667.86804 818.40076 6 0.16335262 329.2313 125.855286 667.5591 818.3325 9 0.08237906 329.1319 126.41092 667.8294 818.03015 ,test/0009.jpg
0 0.08548865 0.0 604.23834 473.6314 844.67523 0 0.062336136 191.63846 336.53824 636.77844 446.38382 3 0.13592508 191.71873 336.41385 637.03516 446.43423 4 0.25039345 152.37473 326.4938 642.2615 469.35056 5 0.39349315 152.11772 326.8082 641.9436 469.52518 5 0.060547985 140.70581 603.6069 357.936 719.3089 7 0.067679435 0.0 569.62085 561.5837 861.73926 7 0.059926983 0.0015258789 830.67505 182.77798 1024.0 ,test/0010.jpg
0 0.09929692 0.0 56.206543 1023.88196 1023.8905 0 0.06369246 483.19788 151.70651 694.7523 294.9006 0 0.06288561 4.149292 162.59764 521.343 614.7323 1 0.08283984 483.12933 151.69987 694.88214 294.88892 1 0.075941175 0.11212158 56.351044 1024.0 1024.0 2 0.13035803 683.43524 410.6868 882.01935 560.5218 2 0.08399615 822.6648 265.46588 1001.0112 411.17072 2 0.051932015 729.8736 319.72287 919.6679 454.41318 3 0.07476063 729.94635 319.7144 919.66595 454.39932 3 0.060803134 621.2618 323.16592 776.95355 469.32053 3 0.056422785 822.614 265.3787 1001.11865 411.1661 4 0.30255178 621.7218 323.07373 777.0398 469.0619 4 0.23473406 430.86478 823.8534 529.38074 1024.0 4 0.08377191 660.53455 423.97006 1002.589 727.4785 5 0.736687 822.7083 265.36853 1001.12836 411.17175 5 0.7103967 683.3672 410.60974 882.0071 560.4491 5 0.56038827 479.16272 130.45047 786.6727 379.4638 5 0.43889448 430.84467 823.6832 529.4624 1024.0 5 0.33293948 729.9675 319.72174 919.6135 454.33704 5 0.23511799 661.6581 424.0224 1003.1835 727.7507 5 0.23218566 0.0 369.89517 1023.94214 1024.0 5 0.19447574 621.26514 323.24356 776.995 469.28415 5 0.16839361 575.4998 703.0294 880.53253 873.03284 5 0.15950094 0.0 524.1761 63.780983 774.4561 5 0.15065537 522.4381 255.96759 1022.3711 693.8079 5 0.14110479 38.760162 278.01343 571.933 721.9975 5 0.13219082 607.87305 181.75366 783.2555 459.37994 5 0.103230245 554.18994 902.3926 929.8817 1023.9906 5 0.10152758 0.0 665.95544 798.098 1024.0 5 0.09610536 66.18638 484.1327 161.78012 713.5021 5 0.08436126 4.4148407 495.91888 188.98642 726.23016 5 0.057330165 899.5401 431.19125 1023.9909 649.2028 6 0.44740012 4.839966 162.71948 521.3987 614.72296 6 0.20792422 0.013198853 524.52826 63.709778 774.342 6 0.11651411 75.90724 345.06567 539.33624 606.9318 6 0.068337165 0.45869446 476.59286 149.46028 578.2289 7 0.20771123 0.0 538.5559 957.2429 1023.943 7 0.14606331 0.0 56.542816 1024.0 1023.96826 7 0.06112771 0.038305283 524.3197 63.712563 774.1465 ,test/0011.jpg
0 0.5469981 273.35214 431.72098 560.75696 790.1023 1 0.14635329 273.5213 431.65973 560.66376 789.94366 2 0.10117387 299.35873 421.0252 557.1017 811.0915 7 0.08211622 299.28183 420.92218 557.12634 810.8195 9 0.058133855 299.6302 420.7018 556.8719 811.0405 ,test/0012.jpg
